density,instance,t_mean,t_stdev
0.1,1,2.09527e+07,2.08969e+06
0.1,2,2.06129e+07,1.13412e+06
0.1,3,2.25634e+07,2.87878e+06
0.1,4,2.2339e+07,3.88229e+06
0.1,5,2.09244e+07,1.2036e+06
0.1,6,2.00823e+07,1.12069e+06
0.1,7,2.01701e+07,1.4622e+06
0.1,8,2.02167e+07,1.35714e+06
0.1,9,2.02645e+07,857736
0.1,10,2.02842e+07,1.45315e+06
0.1,11,2.0339e+07,1.1773e+06
0.1,12,2.04263e+07,1.4108e+06
0.1,13,2.03702e+07,1.40505e+06
0.1,14,2.02998e+07,1.29023e+06
0.1,15,2.0159e+07,1.17692e+06
0.1,16,2.0183e+07,1.63753e+06
0.1,17,2.01205e+07,1.43432e+06
0.1,18,2.06252e+07,1.64446e+06
0.1,19,2.0627e+07,1.65818e+06
0.1,20,2.02951e+07,1.79535e+06
0.1,21,2.01956e+07,1.34398e+06
0.1,22,2.01822e+07,1.34783e+06
0.1,23,2.00966e+07,1.34031e+06
0.1,24,2.00237e+07,1.19576e+06
0.1,25,2.07691e+07,1.55404e+06
0.1,26,2.07159e+07,1.64366e+06
0.1,27,2.04876e+07,1.64692e+06
0.1,28,2.08549e+07,1.71025e+06
0.1,29,2.02909e+07,851123
0.1,30,2.08972e+07,1.93727e+06
0.2,1,3.37066e+07,2.24733e+06
0.2,2,3.48993e+07,4.50556e+06
0.2,3,3.35418e+07,2.3157e+06
0.2,4,3.40119e+07,2.53715e+06
0.2,5,3.47205e+07,4.33134e+06
0.2,6,3.4457e+07,2.04401e+06
0.2,7,3.32978e+07,3.12555e+06
0.2,8,3.36153e+07,2.18016e+06
0.2,9,3.45074e+07,3.93945e+06
0.2,10,3.34249e+07,3.61696e+06
0.2,11,3.48674e+07,3.85966e+06
0.2,12,3.27349e+07,1.62115e+06
0.2,13,3.25106e+07,1.65833e+06
0.2,14,3.2636e+07,1.59936e+06
0.2,15,3.28287e+07,2.05127e+06
0.2,16,3.46292e+07,4.28407e+06
0.2,17,3.30652e+07,2.10749e+06
0.2,18,3.29172e+07,1.55841e+06
0.2,19,3.32095e+07,2.32042e+06
0.2,20,3.28149e+07,1.60228e+06
0.2,21,3.45949e+07,4.82523e+06
0.2,22,3.25499e+07,1.43198e+06
0.2,23,3.31558e+07,1.59924e+06
0.2,24,3.35483e+07,2.12004e+06
0.2,25,3.45131e+07,3.65988e+06
0.2,26,3.29521e+07,1.41628e+06
0.2,27,3.27904e+07,1.76507e+06
0.2,28,3.34627e+07,1.59377e+06
0.2,29,3.36717e+07,2.45211e+06
0.2,30,3.41992e+07,3.68451e+06
0.3,1,4.6986e+07,1.85013e+06
0.3,2,4.79482e+07,6.14484e+06
0.3,3,4.97962e+07,6.37738e+06
0.3,4,4.76522e+07,5.83285e+06
0.3,5,4.68999e+07,1.7279e+06
0.3,6,4.67891e+07,1.77499e+06
0.3,7,4.81794e+07,5.59287e+06
0.3,8,4.69424e+07,1.72551e+06
0.3,9,4.66391e+07,1.99282e+06
0.3,10,4.91277e+07,7.10053e+06
0.3,11,4.68391e+07,1.24387e+06
0.3,12,4.78406e+07,2.06179e+06
0.3,13,4.82e+07,3.05658e+06
0.3,14,4.88121e+07,4.99341e+06
0.3,15,4.72833e+07,2.58039e+06
0.3,16,4.79215e+07,2.82492e+06
0.3,17,4.87355e+07,4.11728e+06
0.3,18,4.88436e+07,4.7409e+06
0.3,19,4.80382e+07,5.48231e+06
0.3,20,4.89143e+07,4.36583e+06
0.3,21,4.73001e+07,1.9864e+06
0.3,22,4.73456e+07,2.01993e+06
0.3,23,4.8404e+07,5.08611e+06
0.3,24,4.6764e+07,1.69365e+06
0.3,25,4.65402e+07,1.21143e+06
0.3,26,4.70044e+07,2.29438e+06
0.3,27,4.83302e+07,4.04259e+06
0.3,28,5.07662e+07,5.17738e+06
0.3,29,4.75564e+07,1.96492e+06
0.3,30,5.19475e+07,8.10089e+06
0.4,1,6.31912e+07,3.57215e+06
0.4,2,6.43926e+07,3.547e+06
0.4,3,6.33436e+07,4.75967e+06
0.4,4,6.11334e+07,2.07429e+06
0.4,5,6.3931e+07,1.02607e+07
0.4,6,6.12465e+07,1.72769e+06
0.4,7,6.40365e+07,7.8998e+06
0.4,8,6.16219e+07,2.89788e+06
0.4,9,6.14865e+07,2.969e+06
0.4,10,6.48644e+07,7.1181e+06
0.4,11,6.13386e+07,1.90001e+06
0.4,12,6.17564e+07,2.58944e+06
0.4,13,6.31544e+07,6.75644e+06
0.4,14,6.15081e+07,1.74247e+06
0.4,15,6.31365e+07,4.33725e+06
0.4,16,6.13225e+07,2.20691e+06
0.4,17,6.11251e+07,2.03842e+06
0.4,18,6.23152e+07,6.90681e+06
0.4,19,6.08257e+07,1.9966e+06
0.4,20,6.32717e+07,7.97415e+06
0.4,21,6.08499e+07,1.38101e+06
0.4,22,6.07582e+07,1.95492e+06
0.4,23,6.30805e+07,5.7641e+06
0.4,24,6.1343e+07,2.16888e+06
0.4,25,6.271e+07,6.0398e+06
0.4,26,6.1397e+07,3.86667e+06
0.4,27,6.16292e+07,2.79438e+06
0.4,28,6.43083e+07,6.591e+06
0.4,29,6.3734e+07,1.03483e+07
0.4,30,6.32264e+07,4.64802e+06
0.5,1,7.55929e+07,1.62875e+06
0.5,2,7.68221e+07,4.49987e+06
0.5,3,7.57796e+07,3.1737e+06
0.5,4,7.89024e+07,6.16983e+06
0.5,5,7.70609e+07,2.94433e+06
0.5,6,7.67092e+07,3.63489e+06
0.5,7,7.762e+07,6.29138e+06
0.5,8,7.62754e+07,2.23421e+06
0.5,9,7.70522e+07,4.51153e+06
0.5,10,7.62495e+07,1.9539e+06
0.5,11,7.81233e+07,6.68764e+06
0.5,12,7.63958e+07,2.36713e+06
0.5,13,8.51193e+07,2.20329e+07
0.5,14,8.48273e+07,2.05625e+07
0.5,15,7.88847e+07,9.27625e+06
0.5,16,7.6714e+07,2.72266e+06
0.5,17,7.71168e+07,5.80556e+06
0.5,18,7.72044e+07,3.70096e+06
0.5,19,7.89171e+07,4.63535e+06
0.5,20,7.7147e+07,3.23661e+06
0.5,21,7.86155e+07,5.42517e+06
0.5,22,7.79262e+07,3.76838e+06
0.5,23,7.75693e+07,6.64647e+06
0.5,24,7.66025e+07,6.07197e+06
0.5,25,7.70586e+07,5.73269e+06
0.5,26,7.50772e+07,2.01151e+06
0.5,27,7.74152e+07,4.58967e+06
0.5,28,7.53309e+07,2.03741e+06
0.5,29,7.64295e+07,4.13949e+06
0.5,30,7.58629e+07,2.27662e+06
0.6,1,9.19274e+07,5.58744e+06
0.6,2,9.11818e+07,3.54584e+06
0.6,3,9.12431e+07,5.29194e+06
0.6,4,9.21661e+07,6.32331e+06
0.6,5,1.35672e+08,4.61347e+07
0.6,6,9.66708e+07,8.80831e+06
0.6,7,9.66835e+07,9.61727e+06
0.6,8,9.18719e+07,2.59635e+06
0.6,9,9.35123e+07,6.91962e+06
0.6,10,9.02904e+07,2.09823e+06
0.6,11,9.1864e+07,5.00803e+06
0.6,12,9.2893e+07,9.55356e+06
0.6,13,9.03991e+07,2.2957e+06
0.6,14,9.19714e+07,6.06572e+06
0.6,15,8.99616e+07,2.64105e+06
0.6,16,9.13375e+07,4.97728e+06
0.6,17,9.02567e+07,3.52839e+06
0.6,18,9.01341e+07,5.6452e+06
0.6,19,9.23492e+07,5.28234e+06
0.6,20,9.13509e+07,8.72834e+06
0.6,21,9.32457e+07,1.29968e+07
0.6,22,9.00197e+07,2.51231e+06
0.6,23,9.07515e+07,5.38049e+06
0.6,24,9.14616e+07,7.20598e+06
0.6,25,9.01047e+07,2.87187e+06
0.6,26,9.20597e+07,5.34939e+06
0.6,27,8.93763e+07,1.99658e+06
0.6,28,9.18167e+07,6.3174e+06
0.6,29,9.02125e+07,2.44425e+06
0.6,30,9.339e+07,1.02701e+07
0.7,1,1.05688e+08,4.76459e+06
0.7,2,1.04971e+08,2.64874e+06
0.7,3,1.07966e+08,9.33171e+06
0.7,4,1.08828e+08,7.10863e+06
0.7,5,1.06827e+08,2.85213e+06
0.7,6,1.07175e+08,5.70623e+06
0.7,7,1.0637e+08,5.69673e+06
0.7,8,1.05046e+08,2.36589e+06
0.7,9,1.08081e+08,8.01712e+06
0.7,10,1.06616e+08,6.12979e+06
0.7,11,1.05277e+08,3.53282e+06
0.7,12,1.08589e+08,1.00658e+07
0.7,13,1.08488e+08,8.43915e+06
0.7,14,1.07408e+08,5.24721e+06
0.7,15,1.07694e+08,3.64307e+06
0.7,16,1.08978e+08,9.35356e+06
0.7,17,1.06551e+08,6.11962e+06
0.7,18,1.05869e+08,3.55337e+06
0.7,19,1.07985e+08,7.98457e+06
0.7,20,1.08061e+08,1.01701e+07
0.7,21,1.04921e+08,2.88499e+06
0.7,22,1.0944e+08,8.28322e+06
0.7,23,1.08377e+08,5.39099e+06
0.7,24,1.12042e+08,8.27868e+06
0.7,25,1.16392e+08,1.11584e+07
0.7,26,1.06134e+08,3.00343e+06
0.7,27,1.08438e+08,5.89045e+06
0.7,28,1.07895e+08,4.1354e+06
0.7,29,1.09269e+08,6.15989e+06
0.7,30,1.12191e+08,1.17127e+07
0.8,1,1.27676e+08,7.70287e+06
0.8,2,1.20608e+08,9.6793e+06
0.8,3,1.21551e+08,9.44323e+06
0.8,4,1.20854e+08,5.49797e+06
0.8,5,1.2229e+08,8.19541e+06
0.8,6,1.19435e+08,3.33111e+06
0.8,7,1.22549e+08,8.35529e+06
0.8,8,1.22715e+08,6.70996e+06
0.8,9,1.24785e+08,1.08192e+07
0.8,10,1.22798e+08,4.85652e+06
0.8,11,1.29216e+08,1.31561e+07
0.8,12,1.29432e+08,1.18649e+07
