density,t_mean_avg,t_stdev_avg
0.1,4.765421e+07,7.438195e+06
0.2,7.677625e+07,7.058702e+06
0.3,1.050668e+08,9.524479e+06
0.4,1.402945e+08,2.560797e+07
0.5,1.709555e+08,2.051569e+07
0.6,2.112634e+08,5.125845e+07
0.7,2.525610e+08,6.911530e+07
0.8,2.867649e+08,6.320011e+07
0.9,3.155314e+08,5.671782e+07
