density,t_mean_avg,t_stdev_avg
0.1,4.267912e+06,1.101409e+06
0.2,8.032193e+06,1.190388e+06
0.3,1.154800e+07,1.186845e+06
0.4,1.562115e+07,1.866190e+06
0.5,1.902868e+07,1.612622e+06
0.6,2.288450e+07,1.823228e+06
0.7,2.632997e+07,1.950749e+06
0.8,2.998158e+07,2.031810e+06
0.9,3.399959e+07,2.971256e+06
