density,t_mean_avg,t_stdev_avg
0.1,6.148363e+06,5.032288e+05
0.2,8.621931e+06,5.606150e+05
0.3,1.442376e+07,2.176457e+06
0.4,1.715057e+07,2.352790e+06
0.5,2.181891e+07,3.257745e+06
0.6,2.609402e+07,3.892006e+06
0.7,2.970678e+07,3.749740e+06
0.8,3.506967e+07,5.051467e+06
0.9,3.536111e+07,3.280423e+06
