density,instance,t_mean,t_stdev
0.5,21,2.26762e+07,6.60779e+06
0.5,22,2.0679e+07,1.99285e+06
0.5,23,2.16256e+07,3.52214e+06
0.5,24,2.13326e+07,3.14487e+06
0.5,25,2.2316e+07,2.29395e+06
0.5,26,2.131e+07,3.00626e+06
0.5,27,1.97969e+07,2.04758e+06
0.5,28,2.02676e+07,1.3016e+06
0.5,29,2.20172e+07,2.59229e+06
0.5,30,2.23076e+07,2.31802e+06
0.6,1,2.44352e+07,2.02579e+06
0.6,2,2.95574e+07,1.336e+07
0.6,3,3.04111e+07,5.22753e+06
0.6,4,2.61391e+07,3.37482e+06
0.6,5,2.68002e+07,4.02653e+06
0.6,6,2.67481e+07,4.13562e+06
0.6,7,2.46677e+07,3.15109e+06
0.6,8,2.72729e+07,4.90259e+06
0.6,9,2.79823e+07,3.3478e+06
0.6,10,2.55583e+07,2.31036e+06
0.6,11,2.53922e+07,3.08968e+06
0.6,12,2.65934e+07,2.91751e+06
0.6,13,2.43766e+07,3.15693e+06
0.6,14,2.39847e+07,2.06886e+06
0.6,15,2.3219e+07,1.66952e+06
0.6,16,2.37215e+07,1.97434e+06
0.6,17,2.37696e+07,2.78502e+06
0.6,18,2.50191e+07,4.62744e+06
0.6,19,2.46357e+07,3.66803e+06
0.6,20,2.38369e+07,2.04667e+06
0.6,21,2.35018e+07,1.72904e+06
0.6,22,2.60516e+07,4.34434e+06
0.6,23,2.43935e+07,1.90691e+06
0.6,24,2.51365e+07,5.24436e+06
0.6,25,2.81544e+07,4.82163e+06
0.6,26,2.89992e+07,5.20695e+06
0.6,27,2.86339e+07,3.35472e+06
0.6,28,3.13954e+07,9.56649e+06
0.6,29,2.64708e+07,3.10102e+06
0.6,30,2.59625e+07,3.61859e+06
0.7,1,2.93497e+07,3.28808e+06
0.7,2,2.74646e+07,1.89271e+06
0.7,3,2.97163e+07,2.56598e+06
0.7,4,2.90734e+07,2.93073e+06
0.7,5,3.08367e+07,3.48289e+06
0.7,6,2.82094e+07,2.88189e+06
0.7,7,2.67424e+07,1.94224e+06
0.7,8,2.64224e+07,1.3956e+06
0.7,9,2.98381e+07,8.14532e+06
0.7,10,2.64081e+07,1.61777e+06
0.7,11,3.0759e+07,5.6336e+06
0.7,12,2.85036e+07,4.12322e+06
0.7,13,2.84374e+07,2.1195e+06
0.7,14,2.77182e+07,2.03972e+06
0.7,15,3.02898e+07,9.06467e+06
0.7,16,3.20187e+07,3.80257e+06
0.7,17,2.94466e+07,2.32801e+06
0.7,18,2.97568e+07,3.72531e+06
0.7,19,2.99948e+07,3.69215e+06
0.7,20,3.22362e+07,7.10194e+06
0.7,21,3.04485e+07,3.00376e+06
0.7,22,3.02948e+07,3.68164e+06
0.7,23,3.00722e+07,3.21255e+06
0.7,24,3.19653e+07,8.51398e+06
0.7,25,3.01239e+07,2.1958e+06
0.7,26,3.10436e+07,3.46579e+06
0.7,27,3.23711e+07,6.30956e+06
0.7,28,2.98714e+07,2.13913e+06
0.7,29,3.20359e+07,2.90437e+06
0.7,30,2.97546e+07,3.29171e+06
0.8,1,3.33892e+07,3.14783e+06
0.8,2,3.34322e+07,5.1209e+06
0.8,3,3.59641e+07,6.0099e+06
0.8,4,3.08271e+07,2.84408e+06
0.8,5,3.17419e+07,2.84926e+06
0.8,6,3.42072e+07,6.28511e+06
0.8,7,3.36105e+07,3.28111e+06
0.8,8,3.39676e+07,5.25318e+06
0.8,9,3.87491e+07,1.17976e+07
0.8,10,3.48886e+07,4.76949e+06
0.8,11,3.23326e+07,3.72414e+06
0.8,12,3.75893e+07,6.33397e+06
0.8,13,3.63334e+07,3.4794e+06
0.8,14,3.4715e+07,3.25693e+06
0.8,15,3.22274e+07,2.4565e+06
0.8,16,3.29672e+07,2.84974e+06
0.8,17,3.54084e+07,3.4658e+06
0.8,18,3.6808e+07,7.82396e+06
0.8,19,3.29638e+07,3.61499e+06
0.8,20,3.31905e+07,2.45586e+06
0.8,21,3.50747e+07,3.59314e+06
0.8,22,3.59002e+07,7.1456e+06
0.8,23,3.63073e+07,4.02961e+06
0.8,24,3.50464e+07,3.37899e+06
0.8,25,3.71404e+07,5.35838e+06
0.8,26,4.29878e+07,9.03084e+06
0.8,27,3.97257e+07,7.92479e+06
0.8,28,3.44632e+07,4.90419e+06
0.8,29,3.4762e+07,8.64445e+06
0.8,30,3.53694e+07,6.71426e+06
0.9,1,3.61609e+07,3.38837e+06
0.9,2,3.85925e+07,4.18731e+06
0.9,3,3.56162e+07,2.77906e+06
0.9,4,3.6195e+07,3.7495e+06
0.9,5,3.43432e+07,1.94578e+06
0.9,6,3.48864e+07,2.60078e+06
0.9,7,3.38751e+07,1.55299e+06
0.9,8,3.40032e+07,1.60868e+06
0.9,9,3.48751e+07,5.26888e+06
0.9,10,3.33776e+07,1.15653e+06
0.9,11,3.56543e+07,3.61753e+06
0.9,12,3.43841e+07,2.13233e+06
0.9,13,4.135e+07,8.74611e+06
0.9,14,3.52053e+07,2.02372e+06
0.9,15,3.41851e+07,1.75597e+06
0.9,16,3.48442e+07,1.80273e+06
0.9,17,3.40415e+07,1.87234e+06
0.9,18,3.52792e+07,3.07036e+06
0.9,19,3.48814e+07,2.118e+06
0.9,20,3.39678e+07,1.79633e+06
0.9,21,3.83163e+07,6.69246e+06
0.9,22,3.72231e+07,8.49765e+06
0.9,23,3.39792e+07,2.26628e+06
0.9,24,3.57444e+07,5.21489e+06
0.9,25,3.45087e+07,2.62056e+06
0.9,26,3.58984e+07,4.74367e+06
0.9,27,3.44498e+07,1.99399e+06
0.9,28,3.49407e+07,2.16826e+06
0.9,29,3.43838e+07,2.53296e+06
0.9,30,3.56708e+07,4.50867e+06
