density,t_mean_avg,t_stdev_avg
0.1,2.054563e+07,1.554689e+06
0.2,3.359447e+07,2.601792e+06
0.3,4.801157e+07,3.638826e+06
0.4,6.240128e+07,4.361062e+06
0.5,7.754672e+07,5.358978e+06
0.6,9.320584e+07,6.933126e+06
0.7,1.079189e+08,6.320966e+06
0.8,1.241933e+08,8.665432e+06
0.9,1.411248e+08,1.164142e+07
