density,instance,t_mean,t_stdev
0.1,1,3.56372e+07,2.78722e+06
0.1,2,3.639e+07,6.05642e+06
0.1,3,4.01171e+07,6.51592e+06
0.1,4,3.7963e+07,5.16856e+06
0.1,5,3.81087e+07,5.22599e+06
0.1,6,3.86666e+07,3.33529e+06
0.1,7,4.43934e+07,1.56246e+07
0.1,8,3.63933e+07,1.70599e+06
0.1,9,3.70851e+07,3.66389e+06
0.1,10,3.56841e+07,1.72851e+06
0.1,11,3.62201e+07,2.40425e+06
0.1,12,3.56244e+07,1.85235e+06
0.1,13,3.6136e+07,2.27964e+06
0.1,14,3.44872e+07,2.24962e+06
0.1,15,3.56102e+07,2.03209e+06
0.1,16,3.4898e+07,1.50643e+06
0.1,17,3.49041e+07,1.84866e+06
0.1,18,3.64645e+07,2.41886e+06
0.1,19,3.86637e+07,7.73267e+06
0.1,20,3.58779e+07,2.12587e+06
0.1,21,3.81879e+07,2.96511e+06
0.1,22,3.58816e+07,1.95795e+06
0.1,23,3.57801e+07,1.85973e+06
0.1,24,3.62525e+07,2.08049e+06
0.1,25,3.6175e+07,2.12164e+06
0.1,26,3.63277e+07,1.83921e+06
0.1,27,3.63737e+07,3.1756e+06
0.1,28,3.5757e+07,1.6949e+06
0.1,29,3.61326e+07,2.1117e+06
0.1,30,3.65444e+07,2.28417e+06
0.2,1,7.1236e+07,3.66277e+06
0.2,2,7.0798e+07,3.15031e+06
0.2,3,7.16207e+07,3.40317e+06
0.2,4,7.12398e+07,4.00592e+06
0.2,5,7.09928e+07,2.46366e+06
0.2,6,6.96185e+07,3.37206e+06
0.2,7,7.12532e+07,5.57486e+06
0.2,8,7.04316e+07,2.32074e+06
0.2,9,6.99151e+07,3.05924e+06
0.2,10,7.09685e+07,2.5543e+06
0.2,11,7.06055e+07,2.95881e+06
0.2,12,7.12049e+07,3.17947e+06
0.2,13,7.02956e+07,3.03561e+06
0.2,14,7.08968e+07,2.81925e+06
0.2,15,6.91974e+07,3.2022e+06
0.2,16,7.10943e+07,3.91805e+06
0.2,17,7.04355e+07,7.36427e+06
0.2,18,7.36691e+07,9.78115e+06
0.2,19,7.10348e+07,2.69542e+06
0.2,20,7.03426e+07,3.97823e+06
0.2,21,7.1511e+07,4.73115e+06
0.2,22,7.76199e+07,1.09099e+07
0.2,23,7.26582e+07,4.65922e+06
0.2,24,7.12798e+07,3.39834e+06
0.2,25,7.34297e+07,7.37564e+06
0.2,26,7.04954e+07,3.72276e+06
0.2,27,7.0271e+07,4.15942e+06
0.2,28,7.75539e+07,1.2153e+07
0.2,29,7.0375e+07,1.03634e+07
0.2,30,6.9552e+07,3.22957e+06
0.3,1,1.05649e+08,5.65388e+06
0.3,2,1.08902e+08,1.93444e+07
0.3,3,1.04144e+08,4.1624e+06
0.3,4,1.0745e+08,1.01161e+07
0.3,5,1.10873e+08,1.64823e+07
0.3,6,1.06479e+08,6.22923e+06
0.3,7,1.06755e+08,9.87094e+06
0.3,8,1.13147e+08,1.17182e+07
0.3,9,1.04608e+08,7.61313e+06
0.3,10,1.06944e+08,8.18754e+06
0.3,11,1.06002e+08,8.31185e+06
0.3,12,1.05765e+08,1.04561e+07
0.3,13,1.07553e+08,1.11718e+07
0.3,14,1.05694e+08,9.99389e+06
0.3,15,1.03388e+08,5.34407e+06
0.3,16,1.05387e+08,8.99656e+06
0.3,17,9.87194e+07,5.90222e+06
0.3,18,1.04599e+08,9.30534e+06
0.3,19,1.0018e+08,4.62607e+06
0.3,20,1.02189e+08,8.98218e+06
0.3,21,1.13193e+08,1.48811e+07
0.3,22,1.14616e+08,9.92515e+06
0.3,23,1.07814e+08,8.4794e+06
0.3,24,1.09946e+08,8.44501e+06
0.3,25,1.08351e+08,7.82336e+06
0.3,26,1.09794e+08,8.76331e+06
0.3,27,1.07138e+08,7.19828e+06
0.3,28,1.12876e+08,7.68457e+06
