density,instance,t_mean,t_stdev
0.5,12,1.83143e+07,1.17475e+06
0.5,13,1.90618e+07,1.30703e+06
0.5,14,1.91842e+07,1.76045e+06
0.5,15,1.93752e+07,2.45036e+06
0.5,16,1.90417e+07,1.64819e+06
0.5,17,1.91297e+07,1.48051e+06
0.5,18,1.87617e+07,1.47877e+06
0.5,19,1.88079e+07,1.3164e+06
0.5,20,1.8696e+07,1.35665e+06
0.5,21,1.91394e+07,1.67958e+06
0.5,22,1.90025e+07,1.14547e+06
0.5,23,1.88005e+07,1.87803e+06
0.5,24,1.90789e+07,1.65372e+06
0.5,25,2.00005e+07,3.11535e+06
0.5,26,1.89432e+07,1.58657e+06
0.5,27,1.91504e+07,1.85757e+06
0.5,28,1.89587e+07,1.15596e+06
0.5,29,1.89446e+07,1.62257e+06
0.5,30,1.95839e+07,1.73656e+06
0.6,1,2.27134e+07,1.49e+06
0.6,2,2.31111e+07,2.3302e+06
0.6,3,2.28384e+07,1.72435e+06
0.6,4,2.30217e+07,1.9375e+06
0.6,5,2.26122e+07,1.6827e+06
0.6,6,2.29462e+07,1.7303e+06
0.6,7,2.38296e+07,2.76073e+06
0.6,8,2.36005e+07,2.62828e+06
0.6,9,2.29877e+07,1.53346e+06
0.6,10,2.39997e+07,3.92976e+06
0.6,11,2.33497e+07,2.20261e+06
0.6,12,2.27125e+07,2.40014e+06
0.6,13,2.26832e+07,1.47444e+06
0.6,14,2.24388e+07,1.65767e+06
0.6,15,2.24453e+07,1.39143e+06
0.6,16,2.20889e+07,1.25122e+06
0.6,17,2.23572e+07,1.49313e+06
0.6,18,2.25584e+07,1.75299e+06
0.6,19,2.23538e+07,1.64333e+06
0.6,20,2.27375e+07,1.67606e+06
0.6,21,2.29974e+07,1.73811e+06
0.6,22,2.23082e+07,1.44451e+06
0.6,23,2.24699e+07,1.56363e+06
0.6,24,2.28816e+07,1.65193e+06
0.6,25,2.398e+07,1.42104e+06
0.6,26,2.29893e+07,2.13214e+06
0.6,27,2.22975e+07,1.31398e+06
0.6,28,2.31882e+07,1.94295e+06
0.6,29,2.2375e+07,1.56584e+06
0.6,30,2.36621e+07,1.23242e+06
0.7,1,2.91169e+07,5.52411e+06
0.7,2,2.69432e+07,1.83338e+06
0.7,3,2.68619e+07,2.44653e+06
0.7,4,2.59164e+07,1.80198e+06
0.7,5,2.64239e+07,1.38459e+06
0.7,6,2.60698e+07,1.64719e+06
0.7,7,2.64215e+07,1.79636e+06
0.7,8,2.69009e+07,2.32883e+06
0.7,9,2.75093e+07,3.67417e+06
0.7,10,2.64468e+07,1.78959e+06
0.7,11,2.72219e+07,3.05379e+06
0.7,12,2.65178e+07,1.97363e+06
0.7,13,2.58338e+07,1.59169e+06
0.7,14,2.57573e+07,1.74629e+06
0.7,15,2.59425e+07,1.74096e+06
0.7,16,2.58985e+07,1.44538e+06
0.7,17,2.62218e+07,2.36494e+06
0.7,18,2.62595e+07,1.87638e+06
0.7,19,2.65575e+07,2.12063e+06
0.7,20,2.64898e+07,1.71179e+06
0.7,21,2.57638e+07,1.63772e+06
0.7,22,2.57118e+07,1.44787e+06
0.7,23,2.56259e+07,1.06195e+06
0.7,24,2.59936e+07,1.76862e+06
0.7,25,2.64371e+07,1.85479e+06
0.7,26,2.56037e+07,1.52791e+06
0.7,27,2.60588e+07,1.68678e+06
0.7,28,2.57827e+07,1.0796e+06
0.7,29,2.61105e+07,1.17008e+06
0.7,30,2.55002e+07,1.43493e+06
0.8,1,2.94222e+07,1.84052e+06
0.8,2,2.98171e+07,1.96433e+06
0.8,3,2.93091e+07,1.57455e+06
0.8,4,2.94976e+07,1.545e+06
0.8,5,3.01288e+07,1.67577e+06
0.8,6,2.99528e+07,2.01165e+06
0.8,7,3.00421e+07,1.74518e+06
0.8,8,3.03943e+07,1.60451e+06
0.8,9,2.95975e+07,1.76407e+06
0.8,10,3.08456e+07,2.66618e+06
0.8,11,3.00898e+07,2.18622e+06
0.8,12,3.02619e+07,1.88387e+06
0.8,13,3.02217e+07,2.34961e+06
0.8,14,2.96545e+07,1.75e+06
0.8,15,2.97518e+07,2.15468e+06
0.8,16,2.95888e+07,2.38121e+06
0.8,17,2.93886e+07,1.86545e+06
0.8,18,2.94296e+07,1.91627e+06
0.8,19,2.96937e+07,2.14033e+06
0.8,20,3.00891e+07,2.14677e+06
0.8,21,3.1123e+07,4.84038e+06
0.8,22,2.9837e+07,1.98827e+06
0.8,23,2.98688e+07,1.99215e+06
0.8,24,2.97259e+07,1.74352e+06
0.8,25,3.03674e+07,1.99371e+06
0.8,26,2.99656e+07,1.79942e+06
0.8,27,2.99769e+07,1.78908e+06
0.8,28,3.00745e+07,1.85512e+06
0.8,29,3.01581e+07,1.74461e+06
0.8,30,3.11737e+07,2.04186e+06
0.9,1,3.41626e+07,2.12372e+06
0.9,2,3.61071e+07,6.35234e+06
0.9,3,3.39381e+07,1.75563e+06
0.9,4,3.45503e+07,2.15033e+06
0.9,5,3.53857e+07,4.88954e+06
0.9,6,3.61991e+07,7.58121e+06
0.9,7,3.37835e+07,2.31452e+06
0.9,8,3.41143e+07,2.71677e+06
0.9,9,3.33387e+07,1.9345e+06
0.9,10,3.37301e+07,2.31904e+06
0.9,11,3.52653e+07,5.12722e+06
0.9,12,3.30792e+07,1.45492e+06
0.9,13,3.33014e+07,2.22309e+06
0.9,14,3.33253e+07,1.95052e+06
0.9,15,3.33584e+07,2.3048e+06
