density,t_mean_avg,t_stdev_avg
0.1,3.675790e+07,3.345111e+06
0.2,7.138655e+07,4.706730e+06
0.3,1.073414e+08,9.411383e+06
0.4,1.395901e+08,1.103999e+07
0.5,1.804617e+08,1.412434e+07
0.6,2.118113e+08,1.688441e+07
0.7,2.391075e+08,1.538137e+07
0.8,2.765038e+08,3.083731e+07
0.9,3.094539e+08,2.979919e+07
